RT @Ulillillysses: AAAAA THE WATER'S RISING (I'm flushing the toilet) #qldfloods #bigwet	 id:295433116565258240	 Date:Sun Jan 27 08:28:38 CET 2013
http://t.co/aZe1gZny  #qldfloods I cannot believe this... but I might change my username now	 id:295433131933196289	 Date:Sun Jan 27 08:28:42 CET 2013
http://t.co/QxbAn94m If she picks you in duck duck goose, she wants the D...  #qldfloods	 id:295433136744046593	 Date:Sun Jan 27 08:28:43 CET 2013
MT@Gold_Coast_City: The worst weather for the #GoldCoast is expected in the next four hours, as system heads to NSW. #bigwet #qldfloods	 id:295433141718487040	 Date:Sun Jan 27 08:28:44 CET 2013
http://t.co/bdyyTzcc Hahah! Therefore amusing!  #qldfloods SEQ	 id:295433143224266754	 Date:Sun Jan 27 08:28:44 CET 2013
For a better version of the BoM radar, I demand you visit http://t.co/1iJ3LVty  #qldfloods #bigwet	 id:295433147556982784	 Date:Sun Jan 27 08:28:45 CET 2013
#qldfloods hoping it doesn't get too much worse.. Praying we dont have a tornado hit. #Brisbane #cylone	 id:295433147896696832	 Date:Sun Jan 27 08:28:45 CET 2013
#qldfloods I had a wet dream about u lastnight hun. http://t.co/Q039vath	 id:295433170097147906	 Date:Sun Jan 27 08:28:51 CET 2013
Backyard flooded #qldfloods	 id:295433171573547008	 Date:Sun Jan 27 08:28:51 CET 2013
RT @AusAction: @ANZ_au @ANZ_media #outoforder Game Set & Match #ausopen #taronga #melbournezoo #whitehaven #coal #climatechange #SEQ ...	 id:295433177772736513	 Date:Sun Jan 27 08:28:53 CET 2013
http://t.co/LLWwx2SQ  #qldfloods Entirely can't comprehend this kind of.	 id:295433178745798656	 Date:Sun Jan 27 08:28:53 CET 2013
RT @Gold_Coast_City: The worst weather for the #GoldCoast is expected in the next four hours, as the system heads towards NSW. #bigwet # ...	 id:295433190284337152	 Date:Sun Jan 27 08:28:56 CET 2013
RT @JenniNOCSG: @ANZ_AU  the #qldfloods is an effect that  #coalmines have on #climatechange as well as #koalas its #outoforder #ausopen	 id:295433227676577792	 Date:Sun Jan 27 08:29:05 CET 2013
